,hour,Weekday,Weekend
0,0,4850620,3521296
1,1,1878370,1832346
2,2,1156712,1064016
3,3,1290128,745047
4,4,3663456,898051
5,5,13497222,1663866
6,6,30586633,3247025
7,7,59308363,4869147
8,8,71954739,6332246
9,9,46132029,7944702
10,10,32185010,9365400
11,11,29727727,10655554
12,12,31852522,11958753
13,13,35754499,12936418
14,14,43768738,13522539
15,15,55222648,14049981
16,16,64316176,14344211
17,17,77487482,14010708
18,18,59184495,12724722
19,19,37764225,10499027
20,20,27476600,8309603
21,21,22153156,7050919
22,22,17981834,6235007
23,23,11293248,4413192
